번호|평점|영화|140자평|글쓴이|날짜
16478441|10|블랙머니|https://m.blog.naver.com/hbn1234/221709638834블랙머니 사건 모티브가 된 론스타 사건 정리해놓은 포스트입니다! 참고하시면 큰 도움될꺼에요 ㅎㅎ |hbn1****|19.12.11
16478440|10|블랙머니|개꾸리잼! |ehdg****|19.12.11
16478439|10|쥬만지: 넥스트 레벨|이영화가 재미없다는사람들은 쥬만지 전편도 재미가없었겠지..전편도 재미없게본사람들이 이영화를보고나서 재미있다고할까..전편재미있게봤으면 이번편도 재미가있었을것이다. 확신한다 그러니 이전편 노잼으로봤던분들은 여기서 평점테러말고 국밥이나 사드시길.. |side****|19.12.11
16478438|10|인터스텔라|VOD 소장용으로 구입해서 보고 또 보고 계속 보고 있음.봐도봐도 새롭고 경이로운 영화.. 내 인생 영화 ♡ |youl****|19.12.11
16478437|7|아내를 죽였다|연기는 좋은데 연출 뻔하지 않음? |sung****|19.12.11
16478436|10|겨울왕국 2||taec****|19.12.11
16478435|1|쥬만지: 넥스트 레벨|이거보다 겨왕2가 훨 나음 |dong****|19.12.11
16478434|10|인터스텔라|이거보다가 숨쉬는거 까먹어서 죽을뻔.. 휴 다행 ㅎㅎ |shfo****|19.12.11
16478433|7|쥬만지: 넥스트 레벨|음..왜 게임 속으로 들어가야 했는지 그 이유를 설명하는데에는 억지다.. |rhdb****|19.12.11
16478432|10|쥬만지: 넥스트 레벨|특별관에서 한번 더 보고 싶어요ㅋㅋㅋㅋ 너무 재밌잖아 |pass****|19.12.11
16478431|10|사도||whgu****|19.12.11
16478430|8|라스트 크리스마스|주인공의 모습이 꼭 내 모습 같아 공감이 많이 됐던 영화 ... 진짜 남주처럼 살고 싶다는 생각을 했습니다. |doru****|19.12.11
16478429|10|쥬만지: 넥스트 레벨|꿀잼입니다 연말에 가족들과 함께 보기 좋은 영화입니다 |tg1b****|19.12.11
16478428|10|양자물리학| 꼭 보세요 !제발요!! 강추 !안보면 후회함! |pipn****|19.12.11
16478427|8|82년생 김지영||ckal****|19.12.11
16478426|1|이스케이프 룸|이 영화는 발암물질 그 자체다. |pnsd****|19.12.11
16478425|1|아내를 죽였다|이시언 진짜 연기 못한다. 나혼자 산다 패널로 나와서 웃고 떠는게 더 자연스러움... 연기 톤도 아니고 표정도 딱 한가지 ㅋㅋㅋㅋ 어떻게 연기로 먹고사는지 이해가 안되네 |tont****|19.12.11
16478424|1|아내를 죽였다|평점 10점 준 글은 왜 하나같이 전부 로봇처럼 식상한 멘트냐 |dong****|19.12.11
16478422|10|포드 V 페라리|한국 기업의 의사결정 과정을 보여줌... |kptt****|19.12.11
16478421|10|아내를 죽였다|볼만하다  이시언연기잘하네 |ktgt****|19.12.11
16478420|10|포드 V 페라리|영화가 이렇게 긴지 몰랐다..엄청난 속도감때문에 몰입해서 보느냐고 영화 끝났을때 아쉬웠다.ㅠㅠ |anfq****|19.12.11
16478419|8|쥬만지: 넥스트 레벨|스토리는 전편에 비해서 조금 떨어지는것 같지만 웃기는 포인트와 액션은 더 쎄진듯. 킬링타임용으로 추천! |jul0****|19.12.11
16478418|10|겨울왕국 2|역시 꿀잼이에요... 또보려고 예매함요 |subi****|19.12.11
16478417|10|나이브스 아웃|난 진짜 재밌게봤는데ㅎㅎ내용 이것도 이해못한다는 사람은 뭐지ㅋㅋㅋ |qkqh****|19.12.11
16478416|10|윤희에게|좋은 이야기, 마음을 다독여주는 이야기 |johy****|19.12.11
16478415|8|너의 여자친구|ㅋㅋㅋㅋ평식이형 리류가 너무 웃기다 |nate****|19.12.11
16478414|10|인터스텔라|경이로워서 슬픈 감정은 처음이었다. |riri****|19.12.11
16478413|10|포드 V 페라리|평식이 형이 7점 줬다..얘들아 극장가자~! |piec****|19.12.11
16478412|10|쥬만지: 넥스트 레벨|쥬만지는 역시 기본이상은 다 하네요!드웨인존슨 좋아하니까  재미있게 더 본듯요!ㅋㅋ |hang****|19.12.11
16478411|10|쥬만지: 넥스트 레벨|1편 잼나게 봣엇는데 2편도 진짜 ...대박ㅜ 보는내내 신났어요!!ㅋㅋㅋ |tjda****|19.12.11
